陈欣予,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈欣予/be97febba0da57a9aeb1768a0f8eca51.jpeg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈欣予/21918ecd40a557429d9820eb058e1f98.jpg']"
微光,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/9369d2a461c354a60109861ec1a7b961.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/d489ce6a7e48a6893cf34df48cd51ba6.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/400904898aa3189717d1ca46eac8dbf0.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/c2e28802651cd30876deb771f85b53cc.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/e4bde0eb46b8f32ef4b4207f5344b4d4.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/86c3cbc8cde622a8c725d89a88bdcb96.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/1058abae0dc372f4432cbea7fa123512.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/9414a8f5b810972c3c9a0e2860c07532.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/64b8299d1597b8a5c7b9cb9c88642f6c.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\微光/a269962fe1424e1ca3e68c328b9fed61.jpg']"
姜妍,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\姜妍/626fc204c1e9e80f61cb36459a57e178.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\姜妍/81db42fb7c55ca1c8155369c6bd13033.jpg']"
王鸥 Angel wang,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\王鸥 Angel wang/4efdd2f969559e8b1c92e99f32ded48e.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\王鸥 Angel wang/3fb5ed13afe8714a7e5d13ee506003dd.jpg']"
秋瓷炫 Choo Ja Hyun,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\秋瓷炫 Choo Ja Hyun/0056470443b56d0d7a24c70c0c1334bd.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\秋瓷炫 Choo Ja Hyun/f3994d0151d1d2013c7e525f45b8d43e.jpg']"
卢杉 Amber,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\卢杉 Amber/85d1d0e3c6bd4a3a078d48251991c380.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\卢杉 Amber/c1674f1e662f75cdc1e1b7792719d0af.jpg']"
张萌 Alina Zhang,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\张萌 Alina Zhang/63d8857167ab1c7192ed4bb660e4d2dd.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\张萌 Alina Zhang/7c15c6ef04923a38ed78a046921fbde0.jpg']"
刘奕宁 Lynn,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\刘奕宁 Lynn/5dad6b96665a11ef8be5beadc9c36824.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\刘奕宁 Lynn/27ed347266584059e815912d379a87a5.jpg']"
梁缘 Lyna,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\梁缘 Lyna/07fda8820aae11614d183152a8bc9d27.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\梁缘 Lyna/e0ac81db62fa1e780919e10e5cdff656.jpg']"
古力娜扎 Gulnazar,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\古力娜扎 Gulnazar/e62c86f98d482568a245d801722efa47.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\古力娜扎 Gulnazar/1990b3032fcceb52c53c5f3b136024b7.jpg']"
关晓彤,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\关晓彤/4f118b6bf8470e1aab151142bb23b10f.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\关晓彤/66aa04064235e84139b8c065203b3e7a.jpg']"
潘之琳,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\潘之琳/44fcca8e66c163dbbb0ac2db1d303383.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\潘之琳/18f9b884b0f96b5d9725652c5e3b869d.jpg']"
陈瑶,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈瑶/5cefffb3259ea5de673346c8bb789a4f.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈瑶/168225ffb9a139979126fe4597aae4a3.jpg']"
戚薇 Stephy,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\戚薇 Stephy/cece55725f5665a97525975ca094efac.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\戚薇 Stephy/87e742c66ccead074432a33cb4abed98.jpg']"
陈钰琪 Yukee,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈钰琪 Yukee/0db793fd38acae4413871296396a4820.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\陈钰琪 Yukee/bafdc93b8bd5038c96671ce892f46b58.jpg']"
祝绪丹,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\祝绪丹/8dba7fa92011957b2d175fafb31b114c.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\祝绪丹/6da4db9867843e331187b1e5c96f617a.jpg']"
郭雪芙 Puff Kuo,"['C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\郭雪芙 Puff Kuo/e0d1d974b450f4c8b6a7706bec9d0853.jpg', 'C:\\Users\\Actions\\PycharmProjects\\meinv\\meinv\\images\\郭雪芙 Puff Kuo/39c279f8399ab0f26cf1f2d31240c36a.jpg']"
